NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
20,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cc(F)c(F)cc2F)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cc(F)c(F)cc2F)n1,67,7.174,0,test,0,test,1,train2
21,CCN(C(=O)[C@@H]1C[C@H](O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,77,7.114,0,train4,0,train3,1,train4
22,CCN(C(=O)[C@@H]1C[C@H](O)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(O)CN1c1nc(C)cc(C(F)(F)F)c1C#N)c1cccc(C)c1,27,7.569,0,train2,1,test,1,test
23,Cc1cccc(N(C)C(=O)[C@@H]2[C@H](O)CCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(N(C)C(=O)C2C(O)CCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,8.55,8.068,1,test,1,train1,1,train5
24,Cc1cccc(N(C)C(=O)[C@@H]2[C@H](O)CCN2c2nc(C)cc(C)c2C#N)c1,Cc1cccc(N(C)C(=O)C2C(O)CCN2c2nc(C)cc(C)c2C#N)c1,32,7.495,0,test,0,train1,1,train1
25,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C(F)(F)F)cc(C)n2)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2cc(C(F)(F)F)cc(C)n2)c1,12,7.921,0,train1,1,train2,1,train3
26,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C(C)C)cc(C)n2)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2cc(C(C)C)cc(C)n2)c1,48,7.319,0,test,0,train4,1,train1
27,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2cc(C)c(Cl)c(C)n2)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2cc(C)c(Cl)c(C)n2)c1,172,6.764,0,test,0,train4,0,train2
28,COc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)n1,COc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cccc(C)c2)n1,514,6.289,0,train1,0,test,0,train4
29,CCN(C)c1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)n1,CCN(C)c1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2C(=O)N(C)c2cccc(C)c2)n1,395,6.403,0,train1,0,train2,0,train2
30,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(N(C)C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2nc(N(C)C)cc(C(F)(F)F)c2C#N)c1,209,6.68,0,train5,0,test,0,test
31,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(C)C)c2C#N)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2nc(C)cc(C(C)C)c2C#N)c1,30,7.523,0,train1,1,train5,1,train3
32,Cc1cccc(N(C)C(=O)[C@@H]2C[C@H](O)CN2c2nccc(C(F)(F)F)c2C#N)c1,Cc1cccc(N(C)C(=O)C2CC(O)CN2c2nccc(C(F)(F)F)c2C#N)c1,969,6.014,0,test,0,train4,0,train3
33,CCc1cc(N2C[C@@H](O)C[C@H]2C(=O)N(C)c2cccc(C)c2)ncc1C,CCc1cc(N2CC(O)CC2C(=O)N(C)c2cccc(C)c2)ncc1C,620,6.208,0,train3,0,train4,0,train4
34,CO[C@H]1C[C@@H](C(=O)N(C)c2cccc(C)c2)N(c2nc(C)cc(C(F)(F)F)c2C#N)C1,COC1CC(C(=O)N(C)c2cccc(C)c2)N(c2nc(C)cc(C(F)(F)F)c2C#N)C1,48,7.319,0,train1,0,train4,1,train1
35,CCN(C(=O)[C@@H]1C[C@H](F)CN1c1nc(C)cc(C)c1C#N)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(F)CN1c1nc(C)cc(C)c1C#N)c1ccc(F)c(F)c1,248,6.606,0,train4,0,train1,0,test
36,CCN(C(=O)[C@@H]1C[C@H](N)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,273,6.564,0,train2,0,train1,0,test
37,CCN(C(=O)[C@@H]1C[C@H](N(C)C)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N(C)C)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,27,7.569,0,test,1,train2,1,train1
38,CCN(C(=O)[C@@H]1C[C@H](N2CCOCC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N2CCOCC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,25,7.602,0,train5,1,test,1,train5
39,CCN(C(=O)[C@@H]1C[C@H](NC)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NC)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,221,6.656,0,test,0,train5,0,train5
40,CCN(C(=O)[C@@H]1C[C@H](NCCO)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NCCO)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,88,7.056,0,test,0,test,1,train4
